#organism_name	refseq_category	assembly_level	ftp_genome
Homo_sapiens	reference genome	Chromosome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/001/405/GCF_000001405.39_GRCh38.p13/GCF_000001405.39_GRCh38.p13_genomic.fna.gz
Plasmodium_vivax	representative genome	Chromosome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/415/GCF_000002415.2_ASM241v2/GCF_000002415.2_ASM241v2_genomic.fna.gz
Trypanosoma_brucei	representative genome	Chromosome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/210/295/GCF_000210295.1_ASM21029v1/GCF_000210295.1_ASM21029v1_genomic.fna.gz
Bigelowiella_natans	na	Chromosome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/455/GCF_000002455.1_ASM245v1/GCF_000002455.1_ASM245v1_genomic.fna.gz
Pyricularia_oryzae	representative genome	Chromosome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/495/GCF_000002495.2_MG8/GCF_000002495.2_MG8_genomic.fna.gz
Kluyveromyces_lactis	representative genome	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/515/GCF_000002515.2_ASM251v1/GCF_000002515.2_ASM251v1_genomic.fna.gz
Yarrowia_lipolytica	representative genome	Chromosome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/525/GCF_000002525.2_ASM252v1/GCF_000002525.2_ASM252v1_genomic.fna.gz
[Candida]_glabrata	representative genome	Chromosome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/545/GCF_000002545.3_ASM254v2/GCF_000002545.3_ASM254v2_genomic.fna.gz
Aspergillus_fumigatus	representative genome	Chromosome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/655/GCF_000002655.1_ASM265v1/GCF_000002655.1_ASM265v1_genomic.fna.gz
Leishmania_major	representative genome	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/725/GCF_000002725.2_ASM272v2/GCF_000002725.2_ASM272v2_genomic.fna.gz
Plasmodium_falciparum	representative genome	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/765/GCF_000002765.4_ASM276v2/GCF_000002765.4_ASM276v2_genomic.fna.gz
Leishmania_braziliensis	representative genome	Chromosome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/845/GCF_000002845.2_ASM284v2/GCF_000002845.2_ASM284v2_genomic.fna.gz
Leishmania_infantum	representative genome	Chromosome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/875/GCF_000002875.2_ASM287v2/GCF_000002875.2_ASM287v2_genomic.fna.gz
Schizosaccharomyces_pombe	representative genome	Chromosome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/945/GCF_000002945.1_ASM294v2/GCF_000002945.1_ASM294v2_genomic.fna.gz
Guillardia_theta	na	Chromosome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/975/GCF_000002975.1_ASM297v1/GCF_000002975.1_ASM297v1_genomic.fna.gz
Theileria_annulata	representative genome	Chromosome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/003/225/GCF_000003225.3_ASM322v1/GCF_000003225.3_ASM322v1_genomic.fna.gz
Dictyostelium_discoideum	representative genome	Chromosome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/004/695/GCF_000004695.1_dicty_2.7/GCF_000004695.1_dicty_2.7_genomic.fna.gz
